Iter, Rerror, Perror
1 1.61335471520085319e-05 1.35065306727043431e-05
2 4.07308326947515329e-08 5.13910946357317611e-08
3 7.09969428668277289e-10 1.11487893885078207e-09
4 6.30988547217084587e-11 1.12237569080080962e-10
5 2.22293575634686932e-14 5.65237131857002764e-14
Iter, Rerror, Perror
1 1.19512159809694482e-06 1.01990078608257392e-06
2 1.02629029252676073e-09 1.30966149546465459e-09
3 2.13076922453448692e-11 3.24049512032515576e-11
4 2.50531887559531039e-15 3.55395529414456469e-15
Iter, Rerror, Perror
1 1.17075339939343822e-07 1.00800249842739118e-07
2 2.41182709644023536e-11 3.06587171693914707e-11
3 4.05156694784885364e-13 6.38986972161192835e-13
Iter, Rerror, Perror
1 2.02572033049810543e-08 1.67278707091956075e-08
2 9.51502611910992099e-13 1.21484261439427813e-12
Iter, Rerror, Perror
1 1.42050139582050869e-09 1.20377390790174752e-09
2 2.94600879222025610e-14 3.73571253504783208e-14
