Iter, Rerror, Perror
1 1.26685607123052096e-05 1.17105165048109261e-05
2 2.73198202279645691e-08 3.97003329206419018e-08
3 4.24957531100734729e-10 7.77375632843279945e-10
4 3.41706080248027251e-11 8.29653700895969743e-11
5 5.86661752433510811e-15 2.06204856801585917e-14
Iter, Rerror, Perror
1 9.32989185619363461e-07 8.78773444188651045e-07
2 6.87002562386862677e-10 1.01057685893433754e-09
3 1.31886973448786108e-11 2.11863875531132271e-11
4 1.58381844793584057e-15 2.64684067717068105e-15
Iter, Rerror, Perror
1 9.12068842936156399e-08 8.69631477839724029e-08
2 1.61902915374555505e-11 2.37047104740232020e-11
3 1.86834043565721850e-13 6.55519462577542740e-13
Iter, Rerror, Perror
1 1.59509149564204736e-08 1.43969101384829759e-08
2 6.38085025005184233e-13 9.34089197988555501e-13
Iter, Rerror, Perror
1 1.11102768812050119e-09 1.03466711955481274e-09
2 2.03972585996123205e-14 2.79240504369040512e-14
