Iter, Rerror, Perror
1 9.51710311248667905e-06 1.03434931140658453e-05
2 1.66697392278928571e-08 2.95530903802988994e-08
3 2.25146887204873598e-10 5.09555934440991583e-10
4 1.16787927371025996e-11 5.18386338112691906e-11
5 6.94834809966866333e-18 3.20444142555781925e-17
Iter, Rerror, Perror
1 6.96180511314905388e-07 7.68967845834071121e-07
2 4.20173941114194276e-10 7.44047973475195944e-10
3 7.57627555528875046e-12 1.47897368349189010e-11
4 8.56198718769499185e-16 1.53008187065202595e-15
Iter, Rerror, Perror
1 6.78995071827209325e-08 7.61348955834047051e-08
2 9.94450209841418600e-12 1.74729051676019904e-11
3 8.36899052465894116e-16 1.42463757086714673e-15
Iter, Rerror, Perror
1 1.20209200588379475e-08 1.26289370271985256e-08
2 3.89753055661995428e-13 6.98400858013400253e-13
Iter, Rerror, Perror
1 8.30877183433095962e-10 9.03731689058519903e-10
2 1.32182966035983970e-14 2.08632454423105026e-14
