Iter, Rerror, Perror
1 2.00311041500978090e-05 1.58139858006870181e-05
2 5.72995138465114435e-08 6.48019859082398908e-08
3 1.09189858071718359e-09 1.49232887314085182e-09
4 1.01913596161583899e-10 1.40340921678198908e-10
5 4.53869982367266379e-14 9.41101141018050187e-14
Iter, Rerror, Perror
1 1.49115757837191445e-06 1.19855145803305900e-06
2 1.44819693966026973e-09 1.65689709151054533e-09
3 3.18131698863751097e-11 4.17028764266163990e-11
4 3.66772575138445416e-15 4.84687146377361982e-15
Iter, Rerror, Perror
1 1.46318914849168880e-07 1.18243791565701786e-07
2 3.39518755457625427e-11 3.87400563438626837e-11
3 5.97508945495512188e-13 5.97263196249597283e-13
Iter, Rerror, Perror
1 2.50963866321571387e-08 1.97026096308622500e-08
2 1.34340369770220013e-12 1.54643730790873571e-12
Iter, Rerror, Perror
1 1.76997783141263834e-09 1.41750558170379018e-09
2 4.10362743799822030e-14 4.52870419114109815e-14
