Iter, Rerror, Perror
1 8.05431738043937807e-06 9.54231435746325204e-06
2 1.22924112476004662e-08 2.49158653721661893e-08
3 1.50697406446430510e-10 3.75026439986559255e-10
4 3.33365212511205672e-14 1.16311449759944745e-13
Iter, Rerror, Perror
1 5.86892820878534786e-07 7.10761536466370683e-07
2 3.12573789320059465e-10 6.22042249440282912e-10
3 5.51944850052675554e-12 1.14273595713189958e-11
4 5.43096104408042525e-16 1.03125322229088654e-15
Iter, Rerror, Perror
1 5.71662612443729734e-08 6.99926874711745438e-08
2 7.41468800602170062e-12 1.46388688346760029e-11
3 5.36679963629888317e-16 9.72804796002779941e-16
Iter, Rerror, Perror
1 1.01876584384804473e-08 1.18472859104260924e-08
2 2.89591859852254177e-13 5.80652058976089961e-13
Iter, Rerror, Perror
1 7.01227026329241039e-10 8.40590095318891050e-10
2 1.02846859005317840e-14 1.77423392520980154e-14
