Iter, Rerror, Perror
1 1.43544921102317575e-05 1.24666970591956757e-05
2 3.36626235983704881e-08 4.58082915344977536e-08
3 5.56174121625968668e-10 9.45463298177228295e-10
4 4.74459448713872249e-11 8.75002344063057541e-11
5 1.28964165300855682e-14 4.01314984635817252e-14
Iter, Rerror, Perror
1 1.06029268704225327e-06 9.41352805565486190e-07
2 8.47065379144151528e-10 1.15866600606674781e-09
3 1.69121457817227505e-11 2.74501271279587776e-11
4 2.01885025207674774e-15 3.07888302872902389e-15
Iter, Rerror, Perror
1 1.03767878360904858e-07 9.29698411355747009e-08
2 1.99247254265386923e-11 2.70731698359335701e-11
3 2.96674626456524635e-13 6.71505541063680560e-13
Iter, Rerror, Perror
1 1.80464236383448251e-08 1.54634557425300162e-08
2 7.85903303774190471e-13 1.05511746308817065e-12
Iter, Rerror, Perror
1 1.26133536586501424e-09 1.11108319925658201e-09
2 2.46505635258398463e-14 3.29529083389550223e-14
