Iter, Rerror, Perror
1 4.04201886755072764e-06 8.03165966671021820e-06
2 3.17374564780055320e-09 1.05511881377876618e-08
3 2.44810117611281835e-11 9.14522426931244203e-11
4 7.21975899781773868e-18 3.30917640152893944e-17
Iter, Rerror, Perror
1 2.90213019250427828e-07 5.82023568950813057e-07
2 8.49835417802785240e-11 2.71871835091012583e-10
3 1.10318399167613808e-12 4.55985108558117365e-12
Iter, Rerror, Perror
1 2.81641037654320163e-08 5.72253650256855711e-08
2 1.94305450376176586e-12 6.33050836127346616e-12
Iter, Rerror, Perror
1 5.12128412559422421e-09 9.89931875192442712e-09
2 8.08443379703518313e-14 2.47487594250187102e-13
Iter, Rerror, Perror
1 3.47709754342159002e-10 6.89084116702306776e-10
2 3.27869583254260142e-15 1.10019472844574413e-14
