Iter, Rerror, Perror
1 1.80265196641030698e-05 1.45634343773180971e-05
2 4.86123130094844224e-08 5.80637917280995747e-08
3 8.88736153752532442e-10 1.29749859040551810e-09
4 8.15156578600511678e-11 1.26244608069516588e-10
5 3.07417639627298513e-14 7.10955995877885766e-14
Iter, Rerror, Perror
1 1.33875094162449306e-06 1.10295660224899421e-06
2 1.22644209946635849e-09 1.47739756781096992e-09
3 2.61904344044900018e-11 3.67544396374450507e-11
4 3.04478683466192626e-15 4.07746831588456854e-15
Iter, Rerror, Perror
1 1.31261332389853730e-07 1.08863569644379295e-07
2 2.87819510998772041e-11 3.44789451418441868e-11
3 5.02134614874673413e-13 5.77773867486837632e-13
Iter, Rerror, Perror
1 2.26069679037629041e-08 1.81222309431619081e-08
2 1.13634222233858703e-12 1.37278375502387729e-12
Iter, Rerror, Perror
1 1.59004418117371638e-09 1.30363072081942008e-09
2 3.49545887014701426e-14 4.10251860567128753e-14
