Iter, Rerror, Perror
1 1.10621158752805268e-05 1.08199126621631673e-05
2 2.16688456157386240e-08 3.50171447683718642e-08
3 3.14912671317986372e-10 6.19596834400682598e-10
4 2.09800196044280754e-11 5.96024293248397004e-11
5 1.85965984723464687e-15 7.92526878997294258e-15
Iter, Rerror, Perror
1 8.12013380383565379e-07 8.12497082087252182e-07
2 5.45181077273522669e-10 8.75945814552188125e-10
3 1.01833419710432785e-11 1.88888312127605077e-11
4 1.19277990419362209e-15 2.11365641375022184e-15
Iter, Rerror, Perror
1 7.92964908249823253e-08 8.01693116687143119e-08
2 1.28734024112624851e-11 2.05352314191147686e-11
3 1.13735038842434477e-15 1.79531456779879916e-15
Iter, Rerror, Perror
1 1.39484791221302155e-08 1.34065135520662841e-08
2 5.06682302709106103e-13 8.10361836369629968e-13
Iter, Rerror, Perror
1 9.68005530728224160e-10 9.58892420692934173e-10
2 1.66220570393809413e-14 2.46323092182853973e-14
