Iter, Rerror, Perror
1 5.30896656169336725e-06 8.41156587825884581e-06
2 5.44993307224689535e-09 1.48024543691453509e-08
3 4.96650908648492714e-11 1.57511484020203639e-10
4 7.45166126962681184e-15 3.26884124460910279e-14
Iter, Rerror, Perror
1 3.83486006192361360e-07 6.18070384009727000e-07
2 1.45039019513277829e-10 3.83485759159670699e-10
3 2.07899621336116829e-12 6.94753525106124504e-12
Iter, Rerror, Perror
1 3.72537464733478875e-08 6.06723151068975366e-08
2 3.43194063121559908e-12 9.28744342603602374e-12
Iter, Rerror, Perror
1 6.73206294246224276e-09 1.04816660734084845e-08
2 1.36144299214987395e-13 3.50540459160139787e-13
Iter, Rerror, Perror
1 4.59243339910385732e-10 7.33609577205616907e-10
2 5.40336646561009075e-15 1.34697837308023767e-14
