Option '64' is not parsed by Ippl. Make sure your application parses it.
Option '64' is not parsed by Ippl. Make sure your application parses it.
Option '64' is not parsed by Ippl. Make sure your application parses it.
Option '2621440' is not parsed by Ippl. Make sure your application parses it.
Option '384' is not parsed by Ippl. Make sure your application parses it.
Option '0.05' is not parsed by Ippl. Make sure your application parses it.
Option 'B-spline' is not parsed by Ippl. Make sure your application parses it.
Option '1' is not parsed by Ippl. Make sure your application parses it.
Option '1e-4' is not parsed by Ippl. Make sure your application parses it.
LandauDampingPIF{0}> Landau damping
LandauDampingPIF{0}> nt 384 Np= 2621440 Fourier modes = ( 64 , 64 , 64 )
LandauDampingPIF{0}> particles created and initial conditions assigned 
LandauDampingPIF{0}> Finished time step: 57 time: 2.85
LandauDampingPIF{0}> Finished time step: 58 time: 2.9
LandauDampingPIF{0}> Finished time step: 59 time: 2.95
LandauDampingPIF{0}> Finished time step: 60 time: 3
LandauDampingPIF{0}> Finished time step: 61 time: 3.05
LandauDampingPIF{0}> Finished time step: 62 time: 3.1
LandauDampingPIF{0}> Finished time step: 63 time: 3.15
LandauDampingPIF{0}> Finished time step: 64 time: 3.2
LandauDampingPIF{0}> Finished time step: 65 time: 3.25
LandauDampingPIF{0}> Finished time step: 66 time: 3.3
LandauDampingPIF{0}> Finished time step: 67 time: 3.35
LandauDampingPIF{0}> Finished time step: 68 time: 3.4
LandauDampingPIF{0}> Finished time step: 69 time: 3.45
LandauDampingPIF{0}> Finished time step: 70 time: 3.5
LandauDampingPIF{0}> Finished time step: 71 time: 3.55
LandauDampingPIF{0}> Finished time step: 72 time: 3.6
LandauDampingPIF{0}> Finished time step: 73 time: 3.65
LandauDampingPIF{0}> Finished time step: 74 time: 3.7
LandauDampingPIF{0}> Finished time step: 75 time: 3.75
LandauDampingPIF{0}> Finished time step: 76 time: 3.8
LandauDampingPIF{0}> Finished time step: 77 time: 3.85
LandauDampingPIF{0}> Finished time step: 78 time: 3.9
LandauDampingPIF{0}> Finished time step: 79 time: 3.95
LandauDampingPIF{0}> Finished time step: 80 time: 4
LandauDampingPIF{0}> Finished time step: 81 time: 4.05
LandauDampingPIF{0}> Finished time step: 82 time: 4.1
LandauDampingPIF{0}> Finished time step: 83 time: 4.15
LandauDampingPIF{0}> Finished time step: 84 time: 4.2
LandauDampingPIF{0}> Finished time step: 85 time: 4.25
LandauDampingPIF{0}> Finished time step: 86 time: 4.3
LandauDampingPIF{0}> Finished time step: 87 time: 4.35
LandauDampingPIF{0}> Finished time step: 88 time: 4.4
LandauDampingPIF{0}> Finished time step: 89 time: 4.45
LandauDampingPIF{0}> Finished time step: 90 time: 4.5
LandauDampingPIF{0}> Finished time step: 91 time: 4.55
LandauDampingPIF{0}> Finished time step: 92 time: 4.6
LandauDampingPIF{0}> Finished time step: 93 time: 4.65
LandauDampingPIF{0}> Finished time step: 94 time: 4.7
LandauDampingPIF{0}> Finished time step: 95 time: 4.75
LandauDampingPIF{0}> Finished time step: 96 time: 4.8
