Iter, Rerror, Perror
1 4.00122526834757811e-02 2.83075272099171771e-01
2 8.47775278615932847e-03 1.70718213754056020e-01
3 4.43938808492449523e-03 1.26693208978907984e-01
4 2.11121085950330021e-03 6.89316342043907598e-02
5 7.87353287923226353e-04 2.87293097019138514e-02
6 2.26670270991844385e-04 8.69417368353237949e-03
7 5.00811327344382178e-05 2.07438382230416612e-03
8 8.77722338772999823e-06 3.80209478660716157e-04
9 1.22711811839629744e-06 5.39882340133711593e-05
10 1.32935975580258844e-07 5.90179358650623792e-06
11 1.09356230421897632e-08 4.87132900662824860e-07
12 6.61801435667264175e-10 2.93596268287616751e-08
13 2.77521181789575391e-11 1.22093275205672575e-09
14 7.22180655886882588e-13 3.13738624482255643e-11
15 4.56252679597604028e-17 3.98586727407039430e-16
