Iter, Rerror, Perror
1 2.93699465240007847e-02 3.15520851749523046e-01
2 6.74413899213990777e-03 1.85786146225531856e-01
3 3.16632774474721011e-03 1.05631971009255268e-01
4 1.15238065525285604e-03 4.28155699064526538e-02
5 6.61251131671982957e-04 1.31565629770736461e-02
6 5.95566837637839471e-04 4.41750219012940811e-03
7 1.48923191086374050e-05 4.68721908444737255e-04
8 1.97412626742776262e-06 5.44444803092945979e-05
9 9.44203688044276856e-08 4.06051873875690390e-06
10 5.15724937774745637e-09 2.21077359806053355e-07
11 1.71236778480055622e-10 7.28699910494547454e-09
12 2.61145762250230684e-12 1.09800362569727885e-10
13 4.49403746653608437e-17 3.95154481700357341e-16
