time, Ez_field_energy, Ez_max_norm
3.0625000000e-01 9.0773718737e+00 4.7124301993e-02
3.0937500000e-01 9.0552763015e+00 4.7065751827e-02
3.1250000000e-01 9.0329997536e+00 4.7006644319e-02
3.1562500000e-01 9.0105437300e+00 4.6946980476e-02
3.1875000000e-01 8.9879097627e+00 4.6886761316e-02
3.2187500000e-01 8.9650994088e+00 4.6825987865e-02
3.2500000000e-01 8.9421142434e+00 4.6764661166e-02
3.2812500000e-01 8.9189558429e+00 4.6702782261e-02
3.3125000000e-01 8.8956257750e+00 4.6640352203e-02
3.3437500000e-01 8.8721255848e+00 4.6577372048e-02
3.3750000000e-01 8.8484567925e+00 4.6513842886e-02
3.4062500000e-01 8.8246208641e+00 4.6449765788e-02
3.4375000000e-01 8.8006192107e+00 4.6385141833e-02
3.4687500000e-01 8.7764531982e+00 4.6319972146e-02
3.5000000000e-01 8.7521241206e+00 4.6254257836e-02
3.5312500000e-01 8.7276332107e+00 4.6188000025e-02
3.5625000000e-01 8.7029816415e+00 4.6121199836e-02
3.5937500000e-01 8.6781705425e+00 4.6053858426e-02
3.6250000000e-01 8.6532009929e+00 4.5985976943e-02
3.6562500000e-01 8.6280740323e+00 4.5917556523e-02
3.6875000000e-01 8.6027906920e+00 4.5848598351e-02
3.7187500000e-01 8.5773519835e+00 4.5779103598e-02
3.7500000000e-01 8.5517589213e+00 4.5709073453e-02
3.7812500000e-01 8.5260125253e+00 4.5638509109e-02
3.8125000000e-01 8.5001138325e+00 4.5567411769e-02
3.8437500000e-01 8.4740639008e+00 4.5495782645e-02
3.8750000000e-01 8.4478638075e+00 4.5423622936e-02
3.9062500000e-01 8.4215146727e+00 4.5350933893e-02
3.9375000000e-01 8.3950176413e+00 4.5277716756e-02
3.9687500000e-01 8.3683738833e+00 4.5203972764e-02
4.0000000000e-01 8.3415846035e+00 4.5129703178e-02
4.0312500000e-01 8.3146510367e+00 4.5054909272e-02
4.0625000000e-01 8.2875744390e+00 4.4979592312e-02
4.0937500000e-01 8.2603560906e+00 4.4903753570e-02
4.1250000000e-01 8.2329973024e+00 4.4827394345e-02
4.1562500000e-01 8.2054994114e+00 4.4750515949e-02
4.1875000000e-01 8.1778637739e+00 4.4673119695e-02
4.2187500000e-01 8.1500917609e+00 4.4595206874e-02
4.2500000000e-01 8.1221847798e+00 4.4516778820e-02
4.2812500000e-01 8.0941442683e+00 4.4437836890e-02
4.3125000000e-01 8.0659716811e+00 4.4358382412e-02
4.3437500000e-01 8.0376685106e+00 4.4278416748e-02
4.3750000000e-01 8.0092362722e+00 4.4197941245e-02
4.4062500000e-01 7.9806765261e+00 4.4116957290e-02
4.4375000000e-01 7.9519908575e+00 4.4035466255e-02
4.4687500000e-01 7.9231808854e+00 4.3953469521e-02
4.5000000000e-01 7.8942482598e+00 4.3870968481e-02
4.5312500000e-01 7.8651946591e+00 4.3787964534e-02
4.5625000000e-01 7.8360217905e+00 4.3704459105e-02
4.5937500000e-01 7.8067313760e+00 4.3620453618e-02
4.6250000000e-01 7.7773251448e+00 4.3535949496e-02
4.6562500000e-01 7.7478048331e+00 4.3450948176e-02
4.6875000000e-01 7.7181721706e+00 4.3365451094e-02
4.7187500000e-01 7.6884288854e+00 4.3279459718e-02
4.7500000000e-01 7.6585766832e+00 4.3192975505e-02
4.7812500000e-01 7.6286172517e+00 4.3105999924e-02
4.8125000000e-01 7.5985522537e+00 4.3018534452e-02
4.8437500000e-01 7.5683833282e+00 4.2930580578e-02
4.8750000000e-01 7.5381120938e+00 4.2842139811e-02
4.9062500000e-01 7.5077401365e+00 4.2753213644e-02
4.9375000000e-01 7.4772690251e+00 4.2663803583e-02
4.9687500000e-01 7.4467003142e+00 4.2573911150e-02
5.0000000000e-01 7.4160355459e+00 4.2483537867e-02
5.0312500000e-01 7.3852762573e+00 4.2392685266e-02
5.0625000000e-01 7.3544239886e+00 4.2301354892e-02
5.0937500000e-01 7.3234802879e+00 4.2209548310e-02
5.1250000000e-01 7.2924467063e+00 4.2117267072e-02
5.1562500000e-01 7.2613248088e+00 4.2024512749e-02
5.1875000000e-01 7.2301161717e+00 4.1931286920e-02
5.2187500000e-01 7.1988223784e+00 4.1837591157e-02
5.2500000000e-01 7.1674450232e+00 4.1743427054e-02
5.2812500000e-01 7.1359857072e+00 4.1648796215e-02
5.3125000000e-01 7.1044460231e+00 4.1553700231e-02
5.3437500000e-01 7.0728275637e+00 4.1458140720e-02
5.3750000000e-01 7.0411319126e+00 4.1362119310e-02
5.4062500000e-01 7.0093606335e+00 4.1265637629e-02
5.4375000000e-01 6.9775152663e+00 4.1168697295e-02
5.4687500000e-01 6.9455973409e+00 4.1071299974e-02
5.5000000000e-01 6.9136083580e+00 4.0973447319e-02
5.5312500000e-01 6.8815497977e+00 4.0875140994e-02
5.5625000000e-01 6.8494231173e+00 4.0776382656e-02
5.5937500000e-01 6.8172297624e+00 4.0677173981e-02
5.6250000000e-01 6.7849711682e+00 4.0577516647e-02
5.6562500000e-01 6.7526487713e+00 4.0477412348e-02
