Iter, Rerror, Perror
1 1.95601576063622301e-01 8.70432176661652179e-01
2 1.49760653418305967e-01 7.38986814900218003e-01
3 1.06101999632932043e-01 5.91324826966341144e-01
4 5.37035680611248067e-02 3.47474117450619568e-01
5 5.79543806672274744e-02 3.90094592954558173e-01
6 4.49118032624480218e-02 3.18819881797446081e-01
7 3.55862378708279511e-02 2.65770420364018822e-01
8 2.49538491689557107e-02 1.75384400685932029e-01
9 2.01753921910091047e-02 1.57453382809630116e-01
10 1.48869773976424893e-02 1.10260910336324500e-01
11 1.39486160430075425e-02 1.10806466415041202e-01
12 1.19396707611699824e-02 1.02831965222889579e-01
13 5.67444522390257028e-03 6.00989439504789266e-02
14 3.98455466181098101e-17 2.90039624171341105e-16
