Iter, Rerror, Perror
1 1.85504857890637476e-01 8.34972468447296778e-01
2 1.39637586373062561e-01 6.92616759515263358e-01
3 9.33336559426064111e-02 5.20010756195491530e-01
4 4.81357918979897909e-02 3.01322540702372133e-01
5 5.32749930373136518e-02 3.45280681553025881e-01
6 3.94342589169195262e-02 2.65657301307240745e-01
7 2.94804352700442779e-02 2.10310248938542443e-01
8 2.17508084637063684e-02 1.53873969618312678e-01
9 1.71396611586745601e-02 1.22784259259422573e-01
10 1.27344837735575023e-02 9.25050509624725237e-02
11 1.21805841790704403e-02 9.37755819397187718e-02
12 5.43638217675654518e-03 5.26506876403733184e-02
13 3.62594909310965283e-17 2.45998319055633272e-16
