Iter, Rerror, Perror
1 1.77000858178787079e-01 8.28457380950962108e-01
2 1.30873402995425325e-01 6.97304576776403118e-01
3 8.30729967422700333e-02 4.62010579033899804e-01
4 4.64160298836929844e-02 2.94417874768020227e-01
5 5.08929497357170149e-02 3.26549036419467809e-01
6 3.53653582365499042e-02 2.40577646517970783e-01
7 2.54516811667379189e-02 1.83057696058643804e-01
8 1.95061899662499032e-02 1.46176542498723000e-01
9 1.49745477664793361e-02 1.06957262320330856e-01
10 1.18300314413374609e-02 9.96215125718796085e-02
11 7.30068847722609507e-03 5.75738828383993151e-02
12 3.90649642417223568e-17 2.85226227752748609e-16
