Iter, Rerror, Perror
1 2.04655317834270684e-01 8.97589857101578015e-01
2 1.60874196625071381e-01 7.96681086627302193e-01
3 1.19071963886149296e-01 6.14853629698796755e-01
4 6.41340828366484955e-02 3.89470645246957015e-01
5 6.48309047222542234e-02 4.18055348620542444e-01
6 5.20946493808126521e-02 3.59243045953211548e-01
7 4.32103412857881633e-02 3.05073339392923637e-01
8 3.05931504536023947e-02 2.15309834307511577e-01
9 2.42142485432729447e-02 1.67063433744422118e-01
10 1.88689074837381059e-02 1.37551247958061729e-01
11 1.71806319736356392e-02 1.21280328699407802e-01
12 1.45351674821228311e-02 1.23301388589322533e-01
13 1.13787608836136145e-02 1.04963512594682812e-01
14 6.01628712611635558e-03 6.02236527030375335e-02
15 3.92591333731937764e-17 2.97674867639751565e-16
