Iter, Rerror, Perror
1 1.64825822985373960e-01 8.00124890493581709e-01
2 1.18740155923177187e-01 6.43354412962079292e-01
3 7.10190722781992162e-02 4.35664814092625696e-01
4 4.17767266997650447e-02 2.82044261390826667e-01
5 4.47271919178487271e-02 3.08840475171303086e-01
6 2.88482726493213479e-02 2.02276255733410820e-01
7 2.00250784401270199e-02 1.54090111379566130e-01
8 1.68270770974216013e-02 1.28787119569919506e-01
9 1.20642366622336784e-02 1.10439639698181838e-01
10 8.30164627211751535e-03 6.52323885081584620e-02
11 3.91313799722590454e-17 2.98808858716688254e-16
