Iter, Rerror, Perror
1 1.82217609012528120e-02 2.37313377348944837e-02
2 4.87426625076019162e-03 8.78379995172778177e-03
3 7.52001140768763588e-04 1.78169530745614694e-03
4 7.11948627394015356e-05 2.01505685282955940e-04
5 4.40790267329658735e-06 1.41049570512005619e-05
6 1.96116109842192583e-07 6.93532514634467175e-07
7 6.42907470250718843e-09 2.42109941821012168e-08
8 1.53054190309465876e-10 6.11747306561330466e-10
9 2.64559122867895377e-12 1.09658484384168522e-11
10 1.11293365626552832e-17 4.93003178497131136e-17
