Iter, Rerror, Perror
1 3.41353124046064049e-02 3.90487284670206769e-02
2 1.21783535325721802e-02 1.80441737640652973e-02
3 2.89806621253096974e-03 5.63868614163116465e-03
4 4.38780015594461158e-04 1.04284669828050010e-03
5 4.50933091010892305e-05 1.23349382383344336e-04
6 3.29835306816916397e-06 1.00300555236076170e-05
7 1.83652738177726186e-07 6.06384145809157560e-07
8 7.93802302027999409e-09 2.79720164335031434e-08
9 2.75676035933002181e-10 1.02967037586616143e-09
10 7.59488891334738589e-12 2.95983203192586739e-11
11 1.07885636563114293e-17 4.89452990408809538e-17
