Iter, Rerror, Perror
1 2.52335295391234067e-02 3.09673044586374208e-02
2 7.96003270525224779e-03 1.29224552060727971e-02
3 1.55500672854353350e-03 3.32700436503634463e-03
4 1.89134525124743665e-04 4.88659265659385561e-04
5 1.54651991196783519e-05 4.59690646402910241e-05
6 8.99514984238617823e-07 2.91766683380539948e-06
7 3.95012339371449665e-08 1.38098389167301691e-07
8 1.31875566524819443e-09 4.89556693265541195e-09
9 3.42513660402671633e-11 1.33044607954480391e-10
10 6.95908123683317931e-13 2.84715725714058472e-12
