Iter, Rerror, Perror
1 2.94258608078405773e-02 3.49053014099923661e-02
2 9.91064275121910677e-03 1.53333358628710090e-02
3 2.14577223483604059e-03 4.36198427908583968e-03
4 2.92257261628225192e-04 7.21123536069729352e-04
5 2.69591065270643478e-05 7.64856324635919258e-05
6 1.76283266022051526e-06 5.52488990302256553e-06
7 8.78403011430386038e-08 2.97849870111936504e-07
8 3.33593282644822011e-09 1.20007281192641435e-08
9 1.00621299168683315e-10 3.82033929964826683e-10
10 2.43858209554945841e-12 9.65805928741747433e-12
