time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.2187933861e-01 2.0833293730e-02
5.0000000000e-02 9.2172346524e-01 2.0833293472e-02
1.0000000000e-01 9.2153298517e-01 2.0833293152e-02
1.5000000000e-01 9.2139897244e-01 2.0833293347e-02
2.0000000000e-01 9.2145586776e-01 2.0833293343e-02
2.5000000000e-01 9.2142581287e-01 2.0833293100e-02
3.0000000000e-01 9.2115411560e-01 2.0833293037e-02
3.5000000000e-01 9.2076149734e-01 2.0833293037e-02
4.0000000000e-01 9.2036045046e-01 2.0833292855e-02
4.5000000000e-01 9.1993388567e-01 2.0833292918e-02
5.0000000000e-01 9.1949429677e-01 2.0833293007e-02
5.5000000000e-01 9.1933117656e-01 2.0833292653e-02
6.0000000000e-01 9.1917130761e-01 2.0833292522e-02
6.5000000000e-01 9.1866685425e-01 2.0833293074e-02
7.0000000000e-01 9.1829716119e-01 2.0833293456e-02
7.5000000000e-01 9.1809949468e-01 2.0833293316e-02
8.0000000000e-01 9.1784888267e-01 2.0833292661e-02
8.5000000000e-01 9.1747986940e-01 2.0833292360e-02
9.0000000000e-01 9.1706366946e-01 2.0833292743e-02
9.5000000000e-01 9.1685166521e-01 2.0833292960e-02
1.0000000000e+00 9.1645786217e-01 2.0833292661e-02
1.0500000000e+00 9.1613193970e-01 2.0833292389e-02
1.1000000000e+00 9.1605987316e-01 2.0833292596e-02
1.1500000000e+00 9.1588724826e-01 2.0833292617e-02
1.2000000000e+00 9.1577216466e-01 2.0833292320e-02
1.2500000000e+00 9.1567727798e-01 2.0833292277e-02
1.3000000000e+00 9.1534946552e-01 2.0833292185e-02
1.3500000000e+00 9.1514180649e-01 2.0833292524e-02
1.4000000000e+00 9.1525043769e-01 2.0833292697e-02
1.4500000000e+00 9.1505701500e-01 2.0833292408e-02
1.5000000000e+00 9.1475068634e-01 2.0833292023e-02
1.5500000000e+00 9.1467715032e-01 2.0833292079e-02
1.6000000000e+00 9.1461944215e-01 2.0833292516e-02
1.6500000000e+00 9.1447752139e-01 2.0833292619e-02
1.7000000000e+00 9.1440712107e-01 2.0833292552e-02
1.7500000000e+00 9.1457535751e-01 2.0833292480e-02
1.8000000000e+00 9.1453137614e-01 2.0833292477e-02
1.8500000000e+00 9.1443732771e-01 2.0833292525e-02
1.9000000000e+00 9.1435228317e-01 2.0833292787e-02
1.9500000000e+00 9.1433465250e-01 2.0833292592e-02
2.0000000000e+00 9.1441972450e-01 2.0833292474e-02
2.0500000000e+00 9.1420073063e-01 2.0833292876e-02
2.1000000000e+00 9.1401182723e-01 2.0833292943e-02
2.1500000000e+00 9.1395677762e-01 2.0833292603e-02
2.2000000000e+00 9.1401048068e-01 2.0833292180e-02
2.2500000000e+00 9.1406841292e-01 2.0833292527e-02
2.3000000000e+00 9.1399712837e-01 2.0833292751e-02
2.3500000000e+00 9.1412153159e-01 2.0833292676e-02
2.4000000000e+00 9.1434704948e-01 2.0833292560e-02
2.4500000000e+00 9.1433965455e-01 2.0833292957e-02
2.5000000000e+00 9.1425372433e-01 2.0833293240e-02
2.5500000000e+00 9.1414362218e-01 2.0833293106e-02
2.6000000000e+00 9.1419852084e-01 2.0833293206e-02
2.6500000000e+00 9.1442246506e-01 2.0833293242e-02
2.7000000000e+00 9.1461976232e-01 2.0833293371e-02
2.7500000000e+00 9.1455240971e-01 2.0833293352e-02
2.8000000000e+00 9.1423352546e-01 2.0833292977e-02
2.8500000000e+00 9.1434732669e-01 2.0833292852e-02
2.9000000000e+00 9.1451235287e-01 2.0833293022e-02
2.9500000000e+00 9.1445694277e-01 2.0833292837e-02
3.0000000000e+00 9.1454793814e-01 2.0833292681e-02
3.0500000000e+00 9.1449807311e-01 2.0833292627e-02
3.1000000000e+00 9.1438324827e-01 2.0833292975e-02
3.1500000000e+00 9.1438779191e-01 2.0833292952e-02
3.2000000000e+00 9.1442421241e-01 2.0833292633e-02
3.2500000000e+00 9.1436599590e-01 2.0833292342e-02
