Iter, Rerror, Perror
1 2.21556984378341280e-02 1.97489267210947221e-02
2 7.62436418420271017e-03 9.98433758167510330e-03
3 1.59266588619934855e-03 2.92446971400678324e-03
4 2.01469301828609569e-04 4.62792925335382059e-04
5 1.70027196852304108e-05 4.53123096413966591e-05
6 1.03570413556921541e-06 3.07620905946523392e-06
7 4.76958476356325024e-08 1.54318514368925469e-07
8 1.70452006934135033e-09 5.90503093730214865e-09
9 4.81512509092436833e-11 1.76454654383751892e-10
10 1.05305325837422678e-12 4.12837724214917696e-12
