Iter, Rerror, Perror
1 6.83981934136072920e-03 2.04357750249922310e-01
2 2.13182936336482999e-03 5.24987144948138099e-02
3 3.29554601992064510e-04 8.01217896076486698e-03
4 3.31893855232714185e-05 8.26277961970746920e-04
5 2.58014210915532493e-06 6.62337143637943565e-05
6 1.60605211496758750e-07 4.43704858461009675e-06
7 7.60695383538541023e-09 2.29878866735237708e-07
8 3.03467154375987230e-10 8.78855017873206384e-09
9 1.32842726049681657e-11 3.60759637838523088e-10
10 4.07907053745406453e-13 1.28639898246987187e-11
11 3.60773259076099938e-18 3.61656744379595867e-17
