Iter, Rerror, Perror
1 7.66747948675450437e-03 2.22825753541827126e-01
2 2.14720622359092402e-03 6.11047508395285086e-02
3 3.71719730388194055e-04 1.03982348205466195e-02
4 4.12347570124449293e-05 1.17630878325362845e-03
5 3.44585262019328824e-06 9.77572704912945165e-05
6 2.40266280557992667e-07 6.68413309967279317e-06
7 1.40296858208140096e-08 4.06302031076484151e-07
8 6.19588166492819905e-10 1.95938958786686513e-08
9 2.23087629062055526e-11 6.82367609998683227e-10
10 9.45268312965472974e-13 2.65743033739540030e-11
11 2.37621276730064450e-14 7.81657139504358576e-13
