Iter, Rerror, Perror
1 5.89572685417562217e-03 2.20188619705152272e-01
2 1.75526009447397641e-03 4.95285222615188328e-02
3 2.14147077591040399e-04 6.25034560089139397e-03
4 1.71949599799464216e-05 5.37643505647935715e-04
5 9.97192442290378209e-07 3.30898330751166298e-05
6 4.95576902713951597e-08 1.54222660339711221e-06
7 2.44023628956618312e-09 7.33020901565359229e-08
8 8.22241382842242594e-11 2.86155982395511841e-09
9 1.35791021250996347e-12 5.27182858530415406e-11
10 4.96756037850459351e-14 1.56968064091674929e-12
