Iter, Rerror, Perror
1 6.11206479885849016e-03 2.05274505015276276e-01
2 2.00455166693159006e-03 4.94837644534439069e-02
3 2.80578679940804800e-04 6.88009690846132400e-03
4 2.58006069753778914e-05 6.64784220627237044e-04
5 1.75603406847796049e-06 4.94109167305867086e-05
6 9.02119420853580401e-08 2.75951323258448380e-06
7 3.98894409970798016e-09 1.16007554718994347e-07
8 1.83621044472915690e-10 5.08783823917861761e-09
9 5.85203122768861887e-12 1.88038636011390579e-10
10 9.42340884428432017e-14 3.26942614672949096e-12
