Iter, Rerror, Perror
1 8.43837975190150046e-03 2.60113895735601397e-01
2 2.17732692663304486e-03 7.54997675196795587e-02
3 4.34318325193275463e-04 1.41048827703283038e-02
4 5.50596493557876967e-05 1.77213773479474850e-03
5 5.00423093436653156e-06 1.62515084368341345e-04
6 3.58126254359921354e-07 1.15440059329113683e-05
7 2.23144207396352596e-08 6.94492585204830223e-07
8 1.21366478526359872e-09 3.85345886047788591e-08
9 4.98641297687476388e-11 1.72838750251717150e-09
10 1.62657557339292922e-12 5.51312028597911519e-11
11 6.56818693243873180e-14 1.96259191889247471e-12
