Iter, Rerror, Perror
1 6.37847194225779884e-03 2.39961038131217275e-01
2 1.48054695398805339e-03 4.87362500140288771e-02
3 1.48574818413917912e-04 5.33354294180843607e-03
4 1.02729950015528005e-05 3.82551036488992834e-04
5 5.88911078762965182e-07 2.04144788749734901e-05
6 3.11465338718748496e-08 1.07098983940027673e-06
7 1.11642946060796360e-09 4.47648580062979400e-08
8 1.90186317199270276e-11 8.79975369892232478e-10
9 6.75743131388071304e-13 2.46715819002456525e-11
10 1.39650424007904392e-14 5.93357910896221409e-13
