Iter, Rerror, Perror
1 4.43128497290675913e-05 3.78946459186799180e-05
2 9.32531574629857953e-08 1.45134757909523704e-07
3 1.27534169264612942e-09 1.89817775318247180e-09
4 3.08122428626134465e-11 7.65519678635809294e-11
