Iter, Rerror, Perror
1 4.03420209616209540e-03 3.92472492170393462e-03
2 6.22196614280074063e-04 9.88851106473245377e-04
3 5.03392825409495196e-05 1.09476100224413709e-04
4 2.46959904577743380e-06 6.52932280278405586e-06
5 8.25636812335483495e-08 2.49624992820532924e-07
6 1.97972632536755379e-09 6.62664005707175544e-09
7 3.33829834331259876e-11 1.25493390497315877e-10
