Iter, Rerror, Perror
1 1.48922652228096562e-03 2.17889903348934865e-03
2 9.37044547521527190e-05 2.37081085535659111e-04
3 2.77304237731036923e-06 9.11183201051652960e-06
4 4.61596853532205872e-08 1.74545383762407095e-07
5 4.50029681625274729e-10 1.87356898602565071e-09
6 9.09848914821560163e-18 3.90695618880905778e-17
