Iter, Rerror, Perror
1 3.93255348229370333e-02 2.77197538698868151e-01
2 7.34133343019223363e-03 1.49778221333700889e-01
3 5.16532889236085910e-03 1.52227902074778348e-01
4 2.85566988563716942e-03 1.04027090885117843e-01
5 1.29537346896687494e-03 5.06473391512945528e-02
6 4.51588493183994945e-04 1.77221472304114717e-02
7 1.08712201976827704e-04 4.36248630542476236e-03
8 1.99103638922166870e-05 6.65019852977125005e-04
9 1.54991242318430488e-06 6.17239469543816267e-05
10 6.52459845941028300e-08 2.57835011632318378e-06
11 5.58581710700294638e-17 5.06041452603901136e-16
