Iter, Rerror, Perror
1 5.14456343083853074e-02 3.54923446373988649e-01
2 8.83995133193415418e-03 1.15345475355640673e-01
3 5.32238412272838073e-03 1.31694567387032890e-01
4 3.52317906543085342e-03 1.18711984992758021e-01
5 1.99820265779760428e-03 7.68765832936447180e-02
6 9.06337066935947893e-04 3.73696414982597896e-02
7 6.68557228570818159e-04 1.39249638479022279e-02
8 8.24191856642135615e-05 3.56547734106538085e-03
9 1.50806214306028716e-05 6.70674417142970458e-04
10 1.89697539475340691e-06 8.49018198040820337e-05
11 1.45804141896559263e-07 6.49244748600992169e-06
12 5.19420085894400078e-09 2.26959465603032249e-07
13 5.31781072396692491e-17 4.60023302818025256e-16
