time, Ez_field_energy, Ez_max_norm
1.4375000000e-01 7.4604360968e-01 1.1136681079e-02
1.4687500000e-01 7.4492082342e-01 1.1125826795e-02
1.5000000000e-01 7.4377889792e-01 1.1114799255e-02
1.5312500000e-01 7.4261792245e-01 1.1103598693e-02
1.5625000000e-01 7.4143803983e-01 1.1092225344e-02
1.5937500000e-01 7.4023944786e-01 1.1080679477e-02
1.6250000000e-01 7.3902239144e-01 1.1068961320e-02
1.6562500000e-01 7.3778716715e-01 1.1057071150e-02
1.6875000000e-01 7.3653411459e-01 1.1045009231e-02
1.7187500000e-01 7.3526361199e-01 1.1032775814e-02
1.7500000000e-01 7.3397607539e-01 1.1020371181e-02
1.7812500000e-01 7.3267195004e-01 1.1007795613e-02
1.8125000000e-01 7.3135170427e-01 1.0995049382e-02
1.8437500000e-01 7.3001582546e-01 1.0982132775e-02
1.8750000000e-01 7.2866481132e-01 1.0969046064e-02
1.9062500000e-01 7.2729916536e-01 1.0955789534e-02
1.9375000000e-01 7.2591939255e-01 1.0942363496e-02
1.9687500000e-01 7.2452598905e-01 1.0928768241e-02
2.0000000000e-01 7.2311943889e-01 1.0915004068e-02
2.0312500000e-01 7.2170021010e-01 1.0901071299e-02
2.0625000000e-01 7.2026874440e-01 1.0886970222e-02
2.0937500000e-01 7.1882545976e-01 1.0872701164e-02
2.1250000000e-01 7.1737074262e-01 1.0858264454e-02
2.1562500000e-01 7.1590494484e-01 1.0843660413e-02
2.1875000000e-01 7.1442837998e-01 1.0828889349e-02
2.2187500000e-01 7.1294132409e-01 1.0813951589e-02
2.2500000000e-01 7.1144401533e-01 1.0798847478e-02
2.2812500000e-01 7.0993665106e-01 1.0783577364e-02
2.3125000000e-01 7.0841938660e-01 1.0768141575e-02
2.3437500000e-01 7.0689233884e-01 1.0752540459e-02
2.3750000000e-01 7.0535558577e-01 1.0736774361e-02
2.4062500000e-01 7.0380917021e-01 1.0720843649e-02
2.4375000000e-01 7.0225309772e-01 1.0704748666e-02
2.4687500000e-01 7.0068734367e-01 1.0688489781e-02
2.5000000000e-01 6.9911185335e-01 1.0672067362e-02
2.5312500000e-01 6.9752654457e-01 1.0655481767e-02
2.5625000000e-01 6.9593131224e-01 1.0638733367e-02
2.5937500000e-01 6.9432603247e-01 1.0621822549e-02
2.6250000000e-01 6.9271056399e-01 1.0604749693e-02
2.6562500000e-01 6.9108475222e-01 1.0587515189e-02
2.6875000000e-01 6.8944843114e-01 1.0570119413e-02
2.7187500000e-01 6.8780142983e-01 1.0552562767e-02
2.7500000000e-01 6.8614357421e-01 1.0534845664e-02
2.7812500000e-01 6.8447468643e-01 1.0516968485e-02
2.8125000000e-01 6.8279459161e-01 1.0498931631e-02
2.8437500000e-01 6.8110312064e-01 1.0480735518e-02
2.8750000000e-01 6.7940011060e-01 1.0462380557e-02
2.9062500000e-01 6.7768540811e-01 1.0443867165e-02
2.9375000000e-01 6.7595886960e-01 1.0425195751e-02
2.9687500000e-01 6.7422036623e-01 1.0406366745e-02
3.0000000000e-01 6.7246978398e-01 1.0387380584e-02
3.0312500000e-01 6.7070702319e-01 1.0368237686e-02
3.0625000000e-01 6.6893200319e-01 1.0348938495e-02
