Iter, Rerror, Perror
1 6.29095714991763583e-04 1.45305355312442619e-03
2 1.55218817516269907e-05 5.71467902526273520e-05
3 1.39390709525419206e-07 6.16150426412055567e-07
4 8.92836281264513341e-18 3.97717751980662450e-17
