2.4500000000e+00 2.6732916757e+00 2.4806321717e-02
2.5000000000e+00 2.6875378668e+00 2.4882787810e-02
2.5500000000e+00 2.6767285645e+00 2.4832717620e-02
2.6000000000e+00 2.6417229837e+00 2.4658496644e-02
2.6500000000e+00 2.5846704192e+00 2.4363231668e-02
2.7000000000e+00 2.5066290300e+00 2.3950299845e-02
2.7500000000e+00 2.4080020955e+00 2.3423835691e-02
2.8000000000e+00 2.2910024354e+00 2.2788290579e-02
2.8500000000e+00 2.1592329073e+00 2.2048626766e-02
2.9000000000e+00 2.0162808273e+00 2.1210320196e-02
2.9500000000e+00 1.8643168344e+00 2.0278918425e-02
3.0000000000e+00 1.7046104063e+00 1.9260709297e-02
3.0500000000e+00 1.5410398172e+00 1.8162027498e-02
3.1000000000e+00 1.3769593289e+00 1.6989677967e-02
3.1500000000e+00 1.2164346045e+00 1.5750597596e-02
3.2000000000e+00 1.0620406733e+00 1.4451966753e-02
3.2500000000e+00 9.1586365530e-01 1.3101220133e-02
3.3000000000e+00 7.7973425092e-01 1.1705772446e-02
3.3500000000e+00 6.5490665182e-01 1.0273314912e-02
3.4000000000e+00 5.4429019689e-01 8.8114076661e-03
3.4500000000e+00 4.5001830694e-01 7.3279289498e-03
3.5000000000e+00 3.7312676451e-01 5.8303386778e-03
3.5500000000e+00 3.1327447176e-01 4.3264556463e-03
3.6000000000e+00 2.7079283076e-01 2.8237937240e-03
