Iter, Rerror, Perror
1 4.19619091543741857e-02 2.02948035618131295e-01
2 2.35404998356030376e-02 8.68507912354791328e-02
3 1.02115481248591204e-02 7.07449321072514264e-02
4 3.84135904415141508e-03 1.40869119114258971e-02
5 1.32635261585179625e-03 5.31669976827946287e-03
6 3.53685923698827346e-04 1.69013518220827337e-03
7 7.73585159279166815e-05 2.95790573348258612e-04
8 9.37678314477118157e-06 5.81198624641514986e-05
9 8.51079636326741925e-07 4.57317899632246813e-06
10 6.93659275706622700e-08 4.67830681286330551e-07
11 6.23529055538960700e-09 3.58663735226458990e-08
12 6.66161239430278883e-10 3.52641394639972538e-09
13 3.00944604517680639e-11 1.71275917405212560e-10
14 2.30275324157696918e-12 1.41254324449257661e-11
15 3.74186954607181514e-17 3.24515395844464542e-16
