Iter, Rerror, Perror
1 3.88582098462968498e-02 1.93432822500825413e-01
2 2.02766745850277777e-02 9.47580092952656217e-02
3 8.22476855463650201e-03 3.96785842057710628e-02
4 3.03196225793095700e-03 1.41903585635003281e-02
5 9.65479931240264795e-04 4.46250101318817777e-03
6 2.29215441519326505e-04 9.64742027419577880e-04
7 4.31757866139484495e-05 1.79746155082056134e-04
8 5.42077469421244745e-06 1.90754458381559404e-05
9 4.75904447002684781e-07 1.82829710963614390e-06
10 3.05514218867529611e-08 1.43764212292266724e-07
11 2.36842614500897899e-09 1.30846692982325250e-08
12 1.76672522616869649e-10 1.63502266689941988e-09
13 1.28470905926606868e-11 1.02834611937415135e-10
14 3.96035980146386225e-17 3.52610816542624576e-16
