Iter, Rerror, Perror
1 3.22918673985572863e-02 1.77347277862908548e-01
2 1.56502328714509149e-02 7.86304370853453255e-02
3 6.23178508614274495e-03 6.46706830127581900e-02
4 2.09418881429794968e-03 9.65239586150518428e-03
5 6.34205953551918731e-04 2.72964215831858958e-03
6 1.46727773874214554e-04 6.24753908647935783e-04
7 2.38228044186658506e-05 1.00015107190998154e-04
8 2.79122658083585838e-06 1.34457152051824406e-05
9 2.01316495326683796e-07 1.06059558906479002e-06
10 1.54507017350815071e-08 7.23895291652240471e-08
11 1.47551364931602827e-09 7.00790247744670733e-09
12 8.15142890224772622e-11 4.26663106987270951e-10
13 1.64011785604692883e-12 9.76715895835751823e-12
