Iter, Rerror, Perror
1 2.97513627680921038e-02 1.44767927510353861e-01
2 1.25808993748484296e-02 5.68941982774179150e-02
3 6.16189557430047753e-03 4.86641179464254031e-02
4 1.20261383393109665e-03 5.45031590545457575e-03
5 2.40816878687222572e-04 1.18509821297771434e-03
6 3.25902102581949199e-05 1.83245110262605915e-04
7 4.09062138549933971e-06 2.58930001900624239e-05
8 3.13324542680187800e-07 2.16667888852260452e-06
9 2.31348689639850355e-08 1.57224182638823571e-07
10 1.46345521503678153e-09 9.78806168872282123e-09
11 4.03154200936448606e-11 2.79837992893804289e-10
12 3.86631476127320593e-17 3.55567758033398888e-16
