Iter, Rerror, Perror
1 3.15662896690502640e-02 1.52295571120861978e-01
2 1.43416690717500673e-02 5.62943137912828989e-02
3 6.84355731852371012e-03 4.58913148389218511e-02
4 1.57673514983025769e-03 6.30326624334900595e-03
5 4.02178385536339450e-04 1.70256659611859673e-03
6 7.04992231982312498e-05 3.02560342282609919e-04
7 1.06004695963324653e-05 4.66810691971938555e-05
8 9.34906790265057680e-07 4.38951294863894832e-06
9 5.77803722271390628e-08 3.00964585111073997e-07
10 5.59562192848605834e-09 2.82802555837862653e-08
11 3.88317182405874002e-10 2.07640635798644282e-09
12 9.38402740756516857e-12 5.26178337204223800e-11
13 3.77563352682551242e-17 3.16133152750727552e-16
