Iter, Rerror, Perror
1 4.20994611215959949e-02 2.89884660205575240e-01
2 7.16270444503597139e-03 1.50277607387615419e-01
3 5.24850976009060954e-03 1.55433681343883690e-01
4 2.96895299767149312e-03 1.06282094923076359e-01
5 1.38307294129971781e-03 5.23004309573438589e-02
6 4.80416727299984238e-04 1.83939544606755573e-02
7 1.14723520178978836e-04 4.43830896862073415e-03
8 1.78979450626672142e-05 6.98921135899953968e-04
9 1.65410634094740052e-06 6.47583899844226093e-05
10 6.90537954248320233e-08 2.68552937170880382e-06
11 4.58664286740182448e-17 4.21264802544631323e-16
