Iter, Rerror, Perror
1 6.77704563311022357e-02 4.60517111835220816e-01
2 1.29795483210277465e-02 1.06711377470275287e-01
3 5.99004882263506639e-03 1.08930365192420969e-01
4 3.96391457530064547e-03 1.16760401626919003e-01
5 2.75752119332399459e-03 9.45832240316598072e-02
6 1.71508737625275802e-03 6.01213315156045938e-02
7 6.99091773047787884e-04 2.96575686488404974e-02
8 2.49890421679402287e-04 1.13051597519379082e-02
9 6.92123895729020687e-05 3.26455239341150779e-03
10 1.45208543650306013e-05 7.01175478525963166e-04
11 2.22920467683121778e-06 1.08592153803537567e-04
12 2.36270166136452883e-07 1.14669436324748951e-05
13 1.54611264677824377e-08 7.39380594882533029e-07
14 4.71064220911145758e-10 2.19767951438176477e-08
15 4.52192443007581603e-17 3.91066023089111699e-16
