Iter, Rerror, Perror
1 4.86774743827221509e-02 3.53229096114130614e-01
2 8.33274929301826804e-03 1.50529692939383286e-01
3 5.47686768925439733e-03 1.63651624778152566e-01
4 3.41198818290734977e-03 1.29059200002486330e-01
5 1.81746414814872113e-03 7.38050517030613557e-02
6 7.48558353765071136e-04 3.11742980579479377e-02
7 2.23340176134051855e-04 9.51154196495337251e-03
8 4.68895926275488253e-05 2.02535220685485596e-03
9 6.57721782634187729e-06 2.85376651230926932e-04
10 5.56548614526316037e-07 2.39477647436957776e-05
11 2.14847640021882015e-08 9.07524731589894946e-07
12 4.45834614689642888e-17 4.25614757662435985e-16
