Iter, Rerror, Perror
1 5.48361934891720762e-02 3.83027965449627417e-01
2 9.08740116928904648e-03 1.25454039943493328e-01
3 5.34048293246050954e-03 1.34495581155018501e-01
4 3.64629200462263017e-03 1.20773867938344659e-01
5 2.19894045198218988e-03 7.88257280577308456e-02
6 9.91944575384374290e-04 3.89191742335974339e-02
7 3.51275337674977945e-04 1.43697908640563286e-02
8 9.20203453024340560e-05 3.87250836225016062e-03
9 1.72725396393394227e-05 7.37391319419979400e-04
10 2.19429316140176337e-06 9.40024422086589446e-05
11 1.69109016465695367e-07 7.20453025529101126e-06
12 5.98370800204664376e-09 2.51199236888706923e-07
13 4.39169555093324933e-17 3.77713684847717606e-16
