Iter, Rerror, Perror
1 6.16626962550897925e-02 4.33506759247913487e-01
2 1.04974732696887472e-02 1.10848388155281530e-01
3 5.40283308985029919e-03 1.14191378638251836e-01
4 3.72448679526439161e-03 1.13723066696707328e-01
5 2.38009337283774138e-03 8.36510575906148912e-02
6 1.26001252122856706e-03 4.76612984226893396e-02
7 5.09699344055955235e-04 2.05186593493118484e-02
8 1.59978545910737614e-04 6.69316249015095878e-03
9 3.76261209061824948e-05 1.60646326067166723e-03
10 6.39183707519210651e-06 2.75164459698089866e-04
11 7.38216325475715314e-07 3.18457234272840578e-05
12 5.19167775430603239e-08 2.23322180098773481e-06
13 1.68152954873273464e-09 7.17156860391051861e-08
14 4.50222572403698488e-17 3.79620957217927912e-16
