Iter, Rerror, Perror
1 3.52923863055995615e-02 2.18626860441165333e-01
2 6.29435871469183512e-03 1.52027124227251537e-01
3 4.56567289768133183e-03 1.36161945065593232e-01
4 2.30247404429044771e-03 8.03707967663294803e-02
5 9.08930883273712485e-04 3.33398512042632766e-02
6 2.49230532793548887e-04 9.36967770235555032e-03
7 4.36215781702507314e-05 1.68725019949401869e-03
8 4.48940499534182032e-06 1.75888513151206037e-04
9 2.09420291126236525e-07 8.09830481436856937e-06
10 4.39614583261220042e-17 3.54990214137058337e-16
