Option '64' is not parsed by Ippl. Make sure your application parses it.
Option '64' is not parsed by Ippl. Make sure your application parses it.
Option '64' is not parsed by Ippl. Make sure your application parses it.
Option '2621440' is not parsed by Ippl. Make sure your application parses it.
Option '384' is not parsed by Ippl. Make sure your application parses it.
Option '0.05' is not parsed by Ippl. Make sure your application parses it.
Option 'B-spline' is not parsed by Ippl. Make sure your application parses it.
Option '1' is not parsed by Ippl. Make sure your application parses it.
Option '1e-4' is not parsed by Ippl. Make sure your application parses it.
PenningTrapPIF{0}> PenningTrapPIF
PenningTrapPIF{0}> nt 384 Np= 2621440 Fourier modes = ( 64 , 64 , 64 )
PenningTrapPIF{0}> particles created and initial conditions assigned 
PenningTrapPIF{0}> Finished time step: 89 time: 4.45
PenningTrapPIF{0}> Finished time step: 90 time: 4.5
PenningTrapPIF{0}> Finished time step: 91 time: 4.55
PenningTrapPIF{0}> Finished time step: 92 time: 4.6
PenningTrapPIF{0}> Finished time step: 93 time: 4.65
PenningTrapPIF{0}> Finished time step: 94 time: 4.7
PenningTrapPIF{0}> Finished time step: 95 time: 4.75
PenningTrapPIF{0}> Finished time step: 96 time: 4.8
PenningTrapPIF{0}> Finished time step: 97 time: 4.85
PenningTrapPIF{0}> Finished time step: 98 time: 4.9
PenningTrapPIF{0}> Finished time step: 99 time: 4.95
PenningTrapPIF{0}> Finished time step: 100 time: 5
PenningTrapPIF{0}> Finished time step: 101 time: 5.05
PenningTrapPIF{0}> Finished time step: 102 time: 5.1
PenningTrapPIF{0}> Finished time step: 103 time: 5.15
PenningTrapPIF{0}> Finished time step: 104 time: 5.2
PenningTrapPIF{0}> Finished time step: 105 time: 5.25
PenningTrapPIF{0}> Finished time step: 106 time: 5.3
PenningTrapPIF{0}> Finished time step: 107 time: 5.35
PenningTrapPIF{0}> Finished time step: 108 time: 5.4
PenningTrapPIF{0}> Finished time step: 109 time: 5.45
PenningTrapPIF{0}> Finished time step: 110 time: 5.5
PenningTrapPIF{0}> Finished time step: 111 time: 5.55
PenningTrapPIF{0}> Finished time step: 112 time: 5.6
PenningTrapPIF{0}> Finished time step: 113 time: 5.65
PenningTrapPIF{0}> Finished time step: 114 time: 5.7
PenningTrapPIF{0}> Finished time step: 115 time: 5.75
PenningTrapPIF{0}> Finished time step: 116 time: 5.8
PenningTrapPIF{0}> Finished time step: 117 time: 5.85
PenningTrapPIF{0}> Finished time step: 118 time: 5.9
PenningTrapPIF{0}> Finished time step: 119 time: 5.95
PenningTrapPIF{0}> Finished time step: 120 time: 6
PenningTrapPIF{0}> Finished time step: 121 time: 6.05
PenningTrapPIF{0}> Finished time step: 122 time: 6.1
PenningTrapPIF{0}> Finished time step: 123 time: 6.15
PenningTrapPIF{0}> Finished time step: 124 time: 6.2
PenningTrapPIF{0}> Finished time step: 125 time: 6.25
PenningTrapPIF{0}> Finished time step: 126 time: 6.3
PenningTrapPIF{0}> Finished time step: 127 time: 6.35
PenningTrapPIF{0}> Finished time step: 128 time: 6.4
PenningTrapPIF{0}> Finished time step: 129 time: 6.45
PenningTrapPIF{0}> Finished time step: 130 time: 6.5
PenningTrapPIF{0}> Finished time step: 131 time: 6.55
PenningTrapPIF{0}> Finished time step: 132 time: 6.6
PenningTrapPIF{0}> Finished time step: 133 time: 6.65
PenningTrapPIF{0}> Finished time step: 134 time: 6.7
PenningTrapPIF{0}> Finished time step: 135 time: 6.75
PenningTrapPIF{0}> Finished time step: 136 time: 6.8
PenningTrapPIF{0}> Finished time step: 137 time: 6.85
PenningTrapPIF{0}> Finished time step: 138 time: 6.9
PenningTrapPIF{0}> Finished time step: 139 time: 6.95
PenningTrapPIF{0}> Finished time step: 140 time: 7
PenningTrapPIF{0}> Finished time step: 141 time: 7.05
PenningTrapPIF{0}> Finished time step: 142 time: 7.1
PenningTrapPIF{0}> Finished time step: 143 time: 7.15
PenningTrapPIF{0}> Finished time step: 144 time: 7.2
PenningTrapPIF{0}> Finished time step: 145 time: 7.25
PenningTrapPIF{0}> Finished time step: 146 time: 7.3
PenningTrapPIF{0}> Finished time step: 147 time: 7.35
PenningTrapPIF{0}> Finished time step: 148 time: 7.4
PenningTrapPIF{0}> Finished time step: 149 time: 7.45
PenningTrapPIF{0}> Finished time step: 150 time: 7.5
PenningTrapPIF{0}> Finished time step: 151 time: 7.55
PenningTrapPIF{0}> Finished time step: 152 time: 7.6
PenningTrapPIF{0}> Finished time step: 153 time: 7.65
PenningTrapPIF{0}> Finished time step: 154 time: 7.7
PenningTrapPIF{0}> Finished time step: 155 time: 7.75
PenningTrapPIF{0}> Finished time step: 156 time: 7.8
PenningTrapPIF{0}> Finished time step: 157 time: 7.85
PenningTrapPIF{0}> Finished time step: 158 time: 7.9
PenningTrapPIF{0}> Finished time step: 159 time: 7.95
PenningTrapPIF{0}> Finished time step: 160 time: 8
PenningTrapPIF{0}> Finished time step: 161 time: 8.05
PenningTrapPIF{0}> Finished time step: 162 time: 8.1
PenningTrapPIF{0}> Finished time step: 163 time: 8.15
PenningTrapPIF{0}> Finished time step: 164 time: 8.2
PenningTrapPIF{0}> Finished time step: 165 time: 8.25
PenningTrapPIF{0}> Finished time step: 166 time: 8.3
PenningTrapPIF{0}> Finished time step: 167 time: 8.35
PenningTrapPIF{0}> Finished time step: 168 time: 8.4
PenningTrapPIF{0}> Finished time step: 169 time: 8.45
PenningTrapPIF{0}> Finished time step: 170 time: 8.5
PenningTrapPIF{0}> Finished time step: 171 time: 8.55
PenningTrapPIF{0}> Finished time step: 172 time: 8.6
PenningTrapPIF{0}> Finished time step: 173 time: 8.65
PenningTrapPIF{0}> Finished time step: 174 time: 8.7
PenningTrapPIF{0}> Finished time step: 175 time: 8.75
PenningTrapPIF{0}> Finished time step: 176 time: 8.8
PenningTrapPIF{0}> Finished time step: 177 time: 8.85
PenningTrapPIF{0}> Finished time step: 178 time: 8.9
PenningTrapPIF{0}> Finished time step: 179 time: 8.95
PenningTrapPIF{0}> Finished time step: 180 time: 9
PenningTrapPIF{0}> Finished time step: 181 time: 9.05
PenningTrapPIF{0}> Finished time step: 182 time: 9.1
PenningTrapPIF{0}> Finished time step: 183 time: 9.15
PenningTrapPIF{0}> Finished time step: 184 time: 9.2
PenningTrapPIF{0}> Finished time step: 185 time: 9.25
PenningTrapPIF{0}> Finished time step: 186 time: 9.3
PenningTrapPIF{0}> Finished time step: 187 time: 9.35
PenningTrapPIF{0}> Finished time step: 188 time: 9.4
PenningTrapPIF{0}> Finished time step: 189 time: 9.45
PenningTrapPIF{0}> Finished time step: 190 time: 9.5
PenningTrapPIF{0}> Finished time step: 191 time: 9.55
PenningTrapPIF{0}> Finished time step: 192 time: 9.6
PenningTrapPIF{0}> Finished time step: 193 time: 9.65
PenningTrapPIF{0}> Finished time step: 194 time: 9.7
PenningTrapPIF{0}> Finished time step: 195 time: 9.75
PenningTrapPIF{0}> Finished time step: 196 time: 9.8
PenningTrapPIF{0}> Finished time step: 197 time: 9.85
PenningTrapPIF{0}> Finished time step: 198 time: 9.9
PenningTrapPIF{0}> Finished time step: 199 time: 9.95
PenningTrapPIF{0}> Finished time step: 200 time: 10
PenningTrapPIF{0}> Finished time step: 201 time: 10.05
PenningTrapPIF{0}> Finished time step: 202 time: 10.1
PenningTrapPIF{0}> Finished time step: 203 time: 10.15
PenningTrapPIF{0}> Finished time step: 204 time: 10.2
PenningTrapPIF{0}> Finished time step: 205 time: 10.25
PenningTrapPIF{0}> Finished time step: 206 time: 10.3
PenningTrapPIF{0}> Finished time step: 207 time: 10.35
PenningTrapPIF{0}> Finished time step: 208 time: 10.4
PenningTrapPIF{0}> Finished time step: 209 time: 10.45
PenningTrapPIF{0}> Finished time step: 210 time: 10.5
PenningTrapPIF{0}> Finished time step: 211 time: 10.55
PenningTrapPIF{0}> Finished time step: 212 time: 10.6
PenningTrapPIF{0}> Finished time step: 213 time: 10.65
PenningTrapPIF{0}> Finished time step: 214 time: 10.7
PenningTrapPIF{0}> Finished time step: 215 time: 10.75
PenningTrapPIF{0}> Finished time step: 216 time: 10.8
PenningTrapPIF{0}> Finished time step: 217 time: 10.85
PenningTrapPIF{0}> Finished time step: 218 time: 10.9
PenningTrapPIF{0}> Finished time step: 219 time: 10.95
PenningTrapPIF{0}> Finished time step: 220 time: 11
PenningTrapPIF{0}> Finished time step: 221 time: 11.05
PenningTrapPIF{0}> Finished time step: 222 time: 11.1
PenningTrapPIF{0}> Finished time step: 223 time: 11.15
PenningTrapPIF{0}> Finished time step: 224 time: 11.2
PenningTrapPIF{0}> Finished time step: 225 time: 11.25
PenningTrapPIF{0}> Finished time step: 226 time: 11.3
PenningTrapPIF{0}> Finished time step: 227 time: 11.35
PenningTrapPIF{0}> Finished time step: 228 time: 11.4
PenningTrapPIF{0}> Finished time step: 229 time: 11.45
PenningTrapPIF{0}> Finished time step: 230 time: 11.5
PenningTrapPIF{0}> Finished time step: 231 time: 11.55
PenningTrapPIF{0}> Finished time step: 232 time: 11.6
PenningTrapPIF{0}> Finished time step: 233 time: 11.65
PenningTrapPIF{0}> Finished time step: 234 time: 11.7
PenningTrapPIF{0}> Finished time step: 235 time: 11.75
PenningTrapPIF{0}> Finished time step: 236 time: 11.8
PenningTrapPIF{0}> Finished time step: 237 time: 11.85
PenningTrapPIF{0}> Finished time step: 238 time: 11.9
PenningTrapPIF{0}> Finished time step: 239 time: 11.95
PenningTrapPIF{0}> Finished time step: 240 time: 12
PenningTrapPIF{0}> Finished time step: 241 time: 12.05
PenningTrapPIF{0}> Finished time step: 242 time: 12.1
PenningTrapPIF{0}> Finished time step: 243 time: 12.15
PenningTrapPIF{0}> Finished time step: 244 time: 12.2
PenningTrapPIF{0}> Finished time step: 245 time: 12.25
PenningTrapPIF{0}> Finished time step: 246 time: 12.3
PenningTrapPIF{0}> Finished time step: 247 time: 12.35
PenningTrapPIF{0}> Finished time step: 248 time: 12.4
PenningTrapPIF{0}> Finished time step: 249 time: 12.45
PenningTrapPIF{0}> Finished time step: 250 time: 12.5
PenningTrapPIF{0}> Finished time step: 251 time: 12.55
PenningTrapPIF{0}> Finished time step: 252 time: 12.6
PenningTrapPIF{0}> Finished time step: 253 time: 12.65
PenningTrapPIF{0}> Finished time step: 254 time: 12.7
PenningTrapPIF{0}> Finished time step: 255 time: 12.75
PenningTrapPIF{0}> Finished time step: 256 time: 12.8
PenningTrapPIF{0}> Finished time step: 257 time: 12.85
PenningTrapPIF{0}> Finished time step: 258 time: 12.9
PenningTrapPIF{0}> Finished time step: 259 time: 12.95
PenningTrapPIF{0}> Finished time step: 260 time: 13
PenningTrapPIF{0}> Finished time step: 261 time: 13.05
PenningTrapPIF{0}> Finished time step: 262 time: 13.1
PenningTrapPIF{0}> Finished time step: 263 time: 13.15
PenningTrapPIF{0}> Finished time step: 264 time: 13.2
PenningTrapPIF{0}> Finished time step: 265 time: 13.25
PenningTrapPIF{0}> Finished time step: 266 time: 13.3
PenningTrapPIF{0}> Finished time step: 267 time: 13.35
PenningTrapPIF{0}> Finished time step: 268 time: 13.4
PenningTrapPIF{0}> Finished time step: 269 time: 13.45
PenningTrapPIF{0}> Finished time step: 270 time: 13.5
PenningTrapPIF{0}> Finished time step: 271 time: 13.55
PenningTrapPIF{0}> Finished time step: 272 time: 13.6
PenningTrapPIF{0}> Finished time step: 273 time: 13.65
PenningTrapPIF{0}> Finished time step: 274 time: 13.7
PenningTrapPIF{0}> Finished time step: 275 time: 13.75
PenningTrapPIF{0}> Finished time step: 276 time: 13.8
PenningTrapPIF{0}> Finished time step: 277 time: 13.85
