Iter, Rerror, Perror
1 1.97708947051317011e-03 1.55667567189052649e-03
2 2.52590449372778211e-04 3.50538841268994853e-04
3 1.62817649840196949e-05 3.15331077533274445e-05
4 6.46144314648005582e-07 1.54484298016345795e-06
5 1.76954746480307945e-08 4.89386581629680828e-08
