Iter, Rerror, Perror
1 1.53175300693843080e-03 7.61625577536551024e-03
2 1.74601173365994606e-04 6.69015139106651888e-04
3 1.75377370113665632e-05 6.25964525132938801e-05
4 1.32310933467766623e-06 5.56199536078938597e-06
5 9.75160621190038917e-08 5.81298683680615680e-07
6 9.07235096740949034e-09 8.85215992292230021e-08
7 8.66101350791700307e-10 9.86421126883634038e-09
8 6.73682165165380646e-11 8.17949532585487554e-10
9 5.66720359890544576e-12 8.20332347469722618e-11
10 1.97228790533261704e-13 2.61628967770945733e-12
