Iter, Rerror, Perror
1 1.19942539934764247e-03 6.95516637775176003e-03
2 1.20046200302723689e-04 5.90666692945621130e-04
3 1.07504954718458302e-05 5.12000075814416977e-05
4 7.00108104291737779e-07 3.95493263991343647e-06
5 4.80454662790224672e-08 3.52097847798363607e-07
6 3.86927899973041128e-09 3.98198036046541405e-08
7 2.76902377764473204e-10 3.73483476794657455e-09
8 1.40635837896733984e-11 1.72723879205495390e-10
9 8.90633597441383317e-13 1.31795856908895231e-11
10 3.98139155660748244e-17 3.50592564317786359e-16
