Iter, Rerror, Perror
1 1.44820460103562364e-03 7.41713131867666707e-03
2 1.56125728335129797e-04 6.74969442809457702e-04
3 1.48976756743325800e-05 6.31862840815561723e-05
4 1.04974111499396176e-06 5.25415298141947786e-06
5 7.43490851869480365e-08 5.09911943968698217e-07
6 6.26950460663331698e-09 6.25422680286551490e-08
7 4.85141275748040350e-10 5.92340432416797683e-09
8 3.82310524537556764e-11 5.66006096498012270e-10
9 1.64759118627790116e-12 2.29984638047811588e-11
10 9.22284105097078052e-14 1.70897156025190851e-12
