Iter, Rerror, Perror
1 4.03033004823790102e-03 3.93167060732384221e-03
2 5.23271216696632167e-04 8.76060433739762976e-04
3 3.43678343588628887e-05 7.83072962037046922e-05
4 1.39180470234266132e-06 3.91113031596603312e-06
