Iter, Rerror, Perror
1 2.21557001945972692e-02 1.97489204098520651e-02
2 7.62435957465585051e-03 9.98433367338006673e-03
3 1.59266501947129247e-03 2.92446837001912683e-03
4 2.01469219727777739e-04 4.62792710605480393e-04
5 1.70027113404114106e-05 4.53122883873405066e-05
6 1.03570352901296181e-06 3.07620727244542879e-06
7 4.76958165330137065e-08 1.54318434103746956e-07
8 1.70452133491204121e-09 5.90502076217001116e-09
9 4.81652876791420565e-11 1.76479594807208135e-10
10 1.05234039859544365e-12 4.12845843280392064e-12
