Iter, Rerror, Perror
1 1.72653607819041079e-02 1.66985978609158932e-02
2 5.13166963327020813e-03 7.52159105657969687e-03
3 8.69585810878666598e-04 1.77426549835167668e-03
4 8.80958979241769369e-05 2.21129023677343211e-04
5 5.95910581059840331e-06 1.72003316500207546e-05
6 2.89095776477775755e-07 9.26097195448219346e-07
7 1.04562334468199623e-08 3.62871257300864065e-08
8 2.88147079125618913e-10 1.06550049398869449e-09
9 6.11754245548418767e-12 2.38493702273504090e-11
10 7.32610863906644428e-18 3.15882041993193040e-17
