Iter, Rerror, Perror
1 1.96043210853199430e-02 1.82087750534300520e-02
2 6.29531914955603830e-03 8.71310255952458673e-03
3 1.18928174484437209e-03 2.30169639842891724e-03
4 1.35069859998945108e-04 3.24241827048845168e-04
5 1.02396748646126385e-05 2.83836930609299308e-05
6 5.59735686093499179e-07 1.72682281152744464e-06
7 2.29703022347709939e-08 7.69663316477278405e-08
8 7.26369497566018350e-10 2.60101527439665479e-09
9 1.79695415410625064e-11 6.79060557100333865e-11
10 3.00259137150557269e-13 1.29698544376691672e-12
