Iter, Rerror, Perror
1 3.10311922387476909e-03 1.45562852733951737e-03
2 2.35269356448517756e-04 1.80775725832295678e-04
3 1.16369104030014976e-05 1.27143529615681089e-05
4 5.65018885810347519e-07 7.69709708278376400e-07
5 6.43551268114657327e-08 9.59420433204718685e-08
6 1.71135077322815378e-08 3.07702986538413212e-08
7 6.44392372103347268e-09 1.33253770532499004e-08
8 2.42853041586909797e-09 5.76737061110507125e-09
9 7.21821894962293344e-10 2.15975984393852795e-09
10 1.88428595242557782e-12 6.71556699089588510e-12
