Iter, Rerror, Perror
1 1.40382547727582112e-03 1.93001945759582413e-03
2 8.57933799932432888e-05 1.97893599617240691e-04
3 3.05117602036489835e-06 8.61079356685878506e-06
4 8.37687685894959341e-08 2.67155590118442637e-07
5 1.75219926680952019e-09 6.10716626941016505e-09
6 2.61252938554833030e-11 9.91135969246563536e-11
7 2.48016025263439218e-13 1.01902159117547743e-12
