Iter, Rerror, Perror
1 5.06107152605747481e-03 2.63252399193434419e-02
2 8.25664035769086086e-04 3.56196145054371149e-03
3 1.35610829677280205e-04 5.36439649713041063e-04
4 1.62198162774850938e-05 7.18090924590705543e-05
5 1.59136239402665473e-06 1.03634278904741418e-05
6 1.38759543059142133e-07 1.11743998561128735e-06
7 1.80598912702809071e-08 1.82363994181826193e-07
8 1.24249665104170780e-09 1.33127411011120683e-08
9 1.76488893561076148e-10 1.99160528655756031e-09
10 7.36393056304184008e-12 9.39063857609719285e-11
11 8.29133367717965613e-13 1.04570415461580806e-11
12 3.91048191621532650e-17 3.63201413328693803e-16
