Iter, Rerror, Perror
1 6.99125162299437265e-03 3.72405019027018461e-02
2 1.41422845556873748e-03 6.04763005739204339e-03
3 2.89552327281720654e-04 1.08224379101422470e-03
4 4.87437458556360122e-05 2.06477625248990056e-04
5 7.99665948927728971e-06 4.15508851177007587e-05
6 1.14352405738597985e-06 7.09119640116959372e-06
7 2.08929843978182200e-07 1.81093651980589649e-06
8 2.25864905953669866e-08 1.84623610067884702e-07
9 4.48825324299452704e-09 4.49178175294979939e-08
10 3.22374469841138001e-10 2.82601034783561446e-09
11 5.82884853987782134e-11 6.22632606264637119e-10
12 2.71423716703009171e-12 2.51716747598086958e-11
13 4.13222114897780297e-13 4.91116145031714286e-12
