Iter, Rerror, Perror
1 3.58270153398551833e-03 2.04956041723319826e-02
2 5.02201578939350749e-04 2.08149997239590696e-03
3 7.18341627473723587e-05 2.49434535968859881e-04
4 7.47897079692397005e-06 3.04717635908623613e-05
5 5.40936294382160859e-07 3.67081906743476665e-06
6 4.36974454526783460e-08 2.91278489034010196e-07
7 3.71758771850915745e-09 3.84071776206378632e-08
8 2.25264744681386027e-10 2.15604140336104076e-09
9 2.20342125314384911e-11 2.66102403180563358e-10
10 3.87881990260988162e-17 3.26150815300635863e-16
